YEAR,ID,TYPE,ARCHITECTURE,TECHNOLOGY,TITLE,ABSTRACT,AUTHORS,COMMENTS,Csamp [pF],AREA [mm^2],SNDR_lf [dB],fin_hf,SNDR_hf [dB],SNR [dB],DR [dB],-THD [dB],SFDR,SNDR,P [W],fs [Hz],OSR,fsnyq_w,fsnyq,FOMW_lf [fJ/conv-step],FOMW_hf,FOMS_lf [dB],FOMS_hf_ab,FOMW_hf/fsnyq,"FOMS,hf+10log(fsnyq)"
1997,8.1,NQ,SAR,1,"A MOSFET-only, 10 b, 200 ksample/s A/D converter capable of 12 b untrimmed linearity","The linearity of a successive approximation (SA) A/D converter is typically limited by its passive network. Published converters based on capacitive arrays or resistive ladders are limited to around 10 b if no trimming or calibration is used. Although static measurements show that MOS transistors are capable of excellent matching, few MOSFET-only converters achieved more than 10 b accuracy without self-calibration. This A/D converter adopts the current division ladder network based on MOSFETs. Extensive measurements on the MOSFET ladders with different resolutions and geometry establish the achievable linearity ","Hammerschmied, C.; Qiuting Huang", , ,2.155,,100000,56.542,,,,,56.542,0.012,200000,1,200000,60000,,109339.8037,,125.7501875,0.546699018,178.7604875
1997,8.2,NQ,Folding,1.00 BiCMOS,A 12 b 50 M sample/s cascaded folding and interpolating ADC,"The architecture of this 12 b ADC is based on a three-stage conversion, using cascaded folding and interpolating techniques. Compared to other multi-stage ADC architectures, folding and interpolating ADCs are based on non-linear analog pre-processing. This architecture is an attractive solution for high-resolution ADCs, as extremely linear circuit topologies are not required. To increase the resolution of folding and interpolating ADCs above the published 8 b examples, without raising the number of parallel input stages or the number of comparators in the fine-comparator, a cascaded folding and interpolating architecture is introduced. The ADC achieves 64 dB signal-to-noise ratio (SNR) and 75 dB spurious-free dynamic range (SFDR), while quantizing a 15 MHz full-scale input signal at 50 MSample/s. The 7.0 mm2 ADC is fabricated in a 13 GHz, 1 ?m BiCMOS process and dissipates 300 mW from a single 5.0 V supply. The device is mounted in a standard 44-pin plastic package ","Vorenkamp, P.; Roovers, R.", , ,7,,25000000,,64,,,75,64,0.3,50000000,1,50000000,6000,,4632.774155,,143.2081875,9.27E-05,220.1978876
1997,8.3,NQ,Folding,0.5,A 170 mW 10 b 50 Msample/s CMOS ADC in 1 mm2,"This 10 b AD-converter at a sample rate of 5O MSample/s, embedded in 50mm2 of digital circuitry, shows 8.7 effective bits. A straight flash-architecture would need 1023 accurate fast comparators. With a 2 V input range, a comparator offset voltage of no more than 1 mV can be tolerated. Taking into account that the 1 mV is a 3-6 sigma value, leads to a large chip. If, however, the signals to the comparator are amplified before the critical decision, simple small comparators would suffice. To cope with the dynamic offset caused by the clocking and latch action of the comparator itself, the architecture must tolerate comparator offsets of up to 60-80 mV. Hence, a gain of at least 30 is necessary. A single amplifier however, could not handle this, as the input range of 2 V would be amplified to 60 V. The approach here is to use a distributed amplifier ","Bult, K.; Buchwald, A.; Laskowski, J.", , ,1,,25000000,53.532,,,,,53.532,0.17,50000000,1,50000000,3400,,8762.35722,,135.2069109,0.000175247,212.1966109
1997,8.4,NQ,Two-step,Bipolar,A 12 b 128 MSample/s ADC with 0.05 LSB DNL,"This analog-to-digital converter uses integrated dither, dynamic element matching, and output data scrambling to achieve SFDR of 85dB and DNL below 0.05LSB at l28MSample/s. This compares to about 0.5LSB DNL for slower 12b converters. The basic two-step flash architecture is shown. The ±0.25V input is amplified to ±1V and held in the track-and-hold circuit when the input clock rises. The 32 comparators in ADC1 produce an approximation that switches the 32 matched current sources in the main DAC. The residue is formed and amplified in the summer to ±0.5V and is converted by ADC2, an 8b folding-and-interpolating flash ADC. To allow low clock rates, there is no analog pipelining, and all analog settling from the track-to-hold transition to latching the result in ADC2 takes only 4.4ns. The ADC1 and ADC2 results added together form the 12b output. The total signal-to-data-output delay is slightly more than two cycles due to digital pipelining","Jewett, R.; Poulton, K.; Kuo-Chiang Hsieh; Doernberg, J.", , ,,,64000000,,58.4,,,,58.4,5.7,128000000,1,128000000,44531.25,,65521.32445,,128.9030512,0.000511885,209.9751509
1997,8.8,NQ,Pipe,1.4,A 15 b 5 MSample/s low-spurious CMOS ADC,"This 15b CMOS ADC at 5MSample/s has four stages with 5, 5, 5, and 6b each. The number of bits resolved per stage is set higher to achieve the same resolution with less accurate components. Resolving more bits per stage greatly simplifies op amp design and reduces the initial capacitor matching requirement. Furthermore, residue amplifiers with low feedback factors are less sensitive to summing-node parasitics. The first two 5b stages are calibrated using the remaining part of the ADC. Two stages are selected for calibration. The gain ofthe 5b residue amplifier is set to 16 to make room for digital correction. After digital correction, the chip has an 18b output. Performance up to 16b level can be tested after removing 2 LSBs corrupted by digital processing. System partitioning and multi-stage calibration solve two fundamental problems of capacitor matching and finite opamp gain ","Sung-Ung Kwak; Bang-Sup Song; Bacrania, K.",Power includes digital (addtl. 70mW), ,27.28,,2500000,84.9,86.9,,,93,84.9,0.13,5000000,1,5000000,26000,,1809.502089,,157.7399666,0.0003619,224.7296666
1997,13.1,OS,"SDSC, Pipe",0.6,A 16b ?? pipeline ADC with 2.5 MHz output data-rate,"A 16b 2.5 MHz A/D converter in 0.6 ?m CMOS addresses the need for wide dynamic range A/D converters with bandwidths in excess of 1 MHz in multi-tone communication. This A/D converter combines the advantages of ?? and pipeline A/D conversion techniques to provide wide dynamic range at a low-oversampling ratio. The device operates at a 20 MHz clock rate, 2.5 MHz output rate (8× oversampling), and provides 89 dB SNR over a 1.25 MHz input bandwidth ","Brooks, T.L.; Robertson, D.H.; Kelly, D.F.; Del Muro, A.; Harston, S.W.", , ,31.8,,1250000,,89,,,97,89,0.55,20000000,8,2500000,220000,,9549.661832,,152.5654732,0.003819865,216.5448733
1997,13.2,OS,SDSC,0.5,Low-voltage double-sampled ?? converters,"In theory, double-sampling in second-order ?? analog-to-digital converters (ADC) can enhance the signal-to-noise ratio (SNR) by 15 dB. In practice however, the SNR performance is usually severely degraded because of mismatches occurring in switched-capacitors (SC). This paper introduces a simple method to solve this problem. Regarding ?? digital-to-analog converters (DAC), in addition to double-sampling, the accompanying use of internal decimation helps to relax the bandwidth requirements of the opamps. Both circuitries are to be operational to supply voltages as low as 1.5 V by using clock bootstrapping. Chip implementation is in double-poly, 2-metal technology featuring 0.5 ?m minimum channel lengths","Senderowicz, D.; Nicollini, G.; Pernici, S.; Nagari, A.; Confalonieri, P.; Dallavalle, C.", , ,0.39,,1000,81,,88,,,81,0.00055,1000000,500,2000,275000,,29987.33471,,143.5963731,14.99366736,176.6066731
1997,13.3,OS,"SDSC, TI",0.6,A two-path bandpass ?? modulator for digital IF extraction at 20 MHz,"There is expanding interest in the possibility of moving the intermediate frequency (IF) signal processing in radio receivers and radio test equipment from the analog domain into the digital domain. Digitization of IF processing confers several important advantages, including greater reliability, potentially lower power consumption, and improved performance as technology scales. Unfortunately, as analog signal processing is eliminated and the A/D conversion is moved away from baseband, the signal that must be digitized has a larger dynamic range, and the converter must operate at a higher sampling rate. This work introduces a two-path, switched-capacitor architecture for a bandpass ?? modulator that is suited to digitizing narrowband radio signals with large dynamic range. A fourth-order bandpass modulator is implemented in a standard 0.6 ?m, single-poly, triple-metal CMOS process. Operating from a single 3.3 V supply, the modulator digitizes a 200 kHz signal centered at an IF of 20 MHz with an extrapolated dynamic range of 75 dB ","Ong, A.K.; Wooley, B.A.",IF=20MHz, ,2.73,,200000,75,,75,,,75,0.072,40000000,100,400000,180000,,39165.85164,,139.436975,0.097914629,195.4575749
1997,13.4,OS,SDCT,HBT,A bandpass ?? modulator with 92 dB SNR and center frequency continuously programmable from 0 to 70 MHz,"Use of a bandpass ?? modulator permits direct conversion of an analog signal to digital form at IF frequencies. This allows the ADC to be moved closer to the receiver front end. Moving the digital interface closer to the antenna reduces receiver analog circuit complexity, eliminates DC-offset cancellation, inphase/quadrature (I/Q) gain calibration, dual I/Q mixers and improves system robustness as mixing is in the digital domain. This second-order bandpass ?? modulator is targeted for an airborne radar system but is also expected to find use in a variety of communications applications. Measurements yield signal to noise+distortion ratio (SNR) from 92 dB (15 b) in narrowband ( 366 kHz) to 44 dB (7 b) in broadband (62.6 MHz) about a center frequency of 55.5 MHz. Modulator sampling rate is 4 GHz and it is implemented in AlInAs-InGaAs HBT technology. The performance represents an improvement of approximately a factor of 10 in bandwidth, resolution and center frequency over other reported bandpass modulators ","Raghavan, G.; Jensen, J.F.; Walden, R.H.; Posey, W.P.","Data taken for max. BW, IF=55MHz", ,0.5625,,62600000,44.1,,,,,44.1,1.4,4000000000,31.94888179,125200000,11182.10863,,85371.46628,,120.604463,0.000681881,201.5805063
1997,13.5,OS,"SDCT, Complex",0.8,A quadrature bandpass ?? modulator for digital radio,"In a bandpass ?? modulator, bandpass filtering and feedback around a low-resolution quantizer shape the noise spectrum, facilitating accurate A/D conversion on narrow-band input signals. This is extended to the quadrature, or complex, case if a complex filter - having complex-valued coefficients and thus not restricted to a symmetrical frequency response - is placed in a ?? loop. The modulator performs a “complex” A/D conversion on the pair of analog inputs, that are in phase-quadrature, and it has two high-speed bit stream outputs: one represents the real output; the other the imaginary output. When combined, these outputs form a complex signal that accurately represents the complex input within a narrow frequency band. This quadrature modulator is useful in architectures for a single-chip digital-radio receiver. The receiver ideally has no image response, and thus the bulky narrow-band image-rejection filter in the RF stage of a single-path receiver can be replaced with a broadband one. The architecture alleviates many problems of the direct-conversion receiver, often considered for single-chip implementations, since the input signal is mixed to a non-zero IF where 1/f noise and DC offsets cause no problem and self-interference is not an issue because oscillator frequency is offset from the carrier frequency. The quadrature modulator IC uses standard fully-differential switched-capacitor circuit techniques and is implemented in 0.8 ?m CMOS technology ","Jantzi, S.; Martin, K.; Sedra, A.","Data taken for max. BW, IF=3.75MHz", ,4.32,,200000,62,,67,,,62,0.13,10000000,25,400000,325000,,315924.426,,123.8708664,0.789811065,179.8914663
