X,Y,
1.00E+02,6.69E-01,
1.26E+02,6.69E-01,
1.58E+02,6.69E-01,
2.00E+02,6.69E-01,
2.51E+02,6.69E-01,
3.16E+02,6.69E-01,
3.98E+02,6.69E-01,
5.01E+02,6.69E-01,
630.9573445,0.669364343,
794.3282347,0.669364343,
1000,0.669364343,
1258.925412,0.669364343,
1584.893192,0.669364343,
1995.262315,0.669364343,
2511.886432,0.669364343,
3162.27766,0.669364343,
3981.071706,0.669364343,
5011.872336,0.669364343,
6309.573445,0.669364343,
7943.282347,0.669364343,
10000,0.669364343,
12589.25412,0.669364343,
15848.93192,0.669364343,
19952.62315,0.669364343,
25118.86432,0.669364344,
31622.7766,0.669364344,
39810.71706,0.669364345,
50118.72336,0.669364347,
63095.73445,0.669364349,
79432.82347,0.669364353,
100000,0.66936436,
125892.5412,0.66936437,
158489.3192,0.669364386,
199526.2315,0.669364411,
251188.6432,0.669364451,
316227.766,0.669364514,
398107.1706,0.669364614,
501187.2336,0.669364773,
630957.3445,0.669365024,
794328.2347,0.669365423,
1000000,0.669366055,
1258925.412,0.669367057,
1584893.192,0.669368645,
1995262.315,0.669371161,
2511886.432,0.669375149,
3162277.66,0.66938147,
3981071.706,0.669391487,
5011872.336,0.669407364,
6309573.445,0.669432525,
7943282.347,0.669472402,
10000000,0.669535597,
12589254.12,0.669635743,
15848931.92,0.669794432,
19952623.15,0.67004586,
25118864.32,0.670444154,
31622776.6,0.671074922,
39810717.06,0.672073411,
50118723.36,0.673652877,
63095734.45,0.676148605,
79432823.47,0.680085306,
100000000,0.686278302,
125892541.2,0.695980668,
158489319.2,0.711086761,
199526231.5,0.734392094,
251188643.2,0.769884814,
316227766,0.823007574,
398107170.6,0.900807021,
501187233.6,1.011931917,
630957344.5,1.166567561,
794328234.7,1.376513225,
1000000000,1.655589641,
1258925412,2.020419583,
1584893192,2.491510475,
1995262315,3.094569621,
2511886432,3.862052432,
3162277660,4.835011166,
3981071706,6.065353684,
5011872336,7.618648626,
6309573445,9.57763926,
7943282347,12.04666146,
10000000000,15.15720595,
12589254118,19.07492373,
15848931925,24.00844916,
19952623150,30.22051125,
25118864315,38.04192536,
31622776602,47.88921052,
39810717055,60.28677066,
50118723363,75.89482113,
63095734448,95.54454755,
79432823472,120.2823695,
1E+11,151.4256663,
1.25893E+11,190.6329319,
1.58489E+11,239.9920963,
1.99526E+11,302.131715,
2.51189E+11,380.3609493,
3.16228E+11,478.8457911,
3.98107E+11,602.8309173,
5.01187E+11,758.9189882,
6.30957E+11,955.4222626,
7.94328E+11,1202.805256,
1E+12,1514.242016,
