YEAR,ID,TYPE,ARCHITECTURE,TECHNOLOGY,TITLE,ABSTRACT,AUTHORS,COMMENTS,Csamp [pF],AREA [mm^2],SNDR_lf [dB],fin_hf,SNDR_hf [dB],SNR [dB],DR [dB],-THD [dB],SFDR [dB],SNDR,P [W],fs [Hz],OSR,fsnyq_w,fsnyq,FOMW_lf [fJ/conv-step],FOMW_hf,FOMS_lf [dB],FOMS_hf [dB],FOMW_hf/fsnyq,"FOMS,hf+10log(fsnyq)"
1997,3.2,OS,SDCT,0.5,"1.2-v, 16-bit Audio A/d Converter With Suppressed Latch Error Noise","We have improved the noise-shaping signal flow in order to solve the latch error problem at low voltage supply and have fabricated a 1.2-V, 16-bit swing-suppression A/D converter for audio. The converter achieves S/(N+THD) of 91.5 dB, DR of 94.0 dB, and low power consumption of 6.5 mW.","Matsuya, Y.   Terada, J.  ", , ,,,2.00E+04,91.5,92,94,,,91.5,6.50E-03,6.14E+06,154,4.00E+04,1.63E+05,,5289.4,,156.4,1.32E-01,202.4
1997,3.4,NQ,"Folding, TI",Bipolar,An 8-GSa/s 8-bit ADC System,"We report on an analog to digital converter (ADC) system with 8 bit resolution and a sample rate of 8 GSa/s. The system is composed of 2 thick-fh hybrid substrates, each holding a silicon bipolar ADC chip and a custom CMOS memory chip. Each ADC chip contains two differential track and hold circuits and two folding and interpolating 2 GSa/s flash digitizers. The custom memory chip accepts data at 2 GSa/s on each of two input ports, and stores the data in a 256 Kbit S U M . The ADC system uses time interleaving of 4 paths to reach 8 GSa/s and combines hardware dither with software calibration techniques to achieve 7.6 effective bits at low frequencies and 5.3 effective bits at 2 GHz input.","Ken Poulton, Knud L. Knudsen, John Kerley, James Kang, Jon Tani, Eldon Cornish and Michael VanGrouw",Software calibration, ,29.68,46.9,4.00E+09,24,,,,,24,1.25E+01,8.00E+09,1,8.00E+09,1.56E+03,8631.7,120228.9,132,109.1,1.50E-05,208.12
1998,14.2,NQ,Pipe,0.6,"A 1.5 V, 10-bit, 14 MS/s CMOS pipeline analog-to-digital converter","A 1.5 V, 10-bit, 14.3 MS/s pipeline analog-to-digital converter was implemented in a 0.6 ?m CMOS technology. Emphasis was placed on observing device reliability constraints at low voltage. MOS switches were implemented without low-threshold devices by using a bootstrapping technique that does not subject the devices to large terminal voltages. The converter achieved a peak SNDR of 58.5 dB, maximum DNL of 0.51 LSB, maximum INL of 0.66 LSB and a power consumption of 36 mW ","Abo, A.M.   Gray, P.R.   ", , ,5.75,,7.15E+06,58.5,,,,,58.5,3.60E-02,1.43E+07,1,1.43E+07,2.52E+03,,3661.7,,141.5,2.56E-04,213.03
1998,14.3,NQ,"Two-step, Pipe",0.25 BiCMOS,A 2.5 V 100 MS/s 8 bit ADC using pre-linearization input buffer andlevel up DAC/subtractor,"This paper describes a 2.5 V 100 MS/s 8 bit subranging Analog-to-Digital Converter (ADC). To achieve such low voltage operation and high-speed conversion rate at the same time, a “pre-linearization input buffer” and “level up DAC/subtractor” have been newly developed. These circuits prevent voltage drops on the internal analog signal path and make the supply voltage reduction possible. The ADC also uses a simple encoder scheme “noise immunity encoder” that is resistant to bubbling error for thermometer code ","Sugawara, M.   Yoshida, H.   Mitsuishi, M.   Nakamura, S.   Nakaigawa, S.   Kunisaki, Y.   Suzuki, H.   ", , ,3.3,,5.00E+07,43.3,,,,,43.3,1.80E-01,1.00E+08,1,1.00E+08,1.80E+03,,15068.3,,127.7,1.51E-04,207.74
1998,14.4,OS,SDCT,0.5 SiGe,A 4 GHz fourth-order SiGe HBT band pass ?? modulator,"Test results for a fourth-order band pass (BP) ?? modulator (??M) are presented. The 0.5 ?m SiGe HBT design uses active LC resonators with Q enhancement and return-to-zero latches to drive the feedback DACs. The packaged circuit consumes 350 mW from a single 5 V supply when clocking at 4 GHz. Measured results indicate a maximum SNR of 53 dB, SFDR of 69 dB, and a dynamic range of 62 dB, all in a 4 MHz bandwidth ","Weinan Gao   Cherry, J.A.   Snelgrove, W.M.   ", , ,1.24,,4.00E+06,,53,62,,69,53,3.50E-01,4.00E+09,500,8.00E+06,4.38E+04,,119873.4,,123.6,1.50E-02,192.61
1999,8.2,NQ,Pipe,Bipolar,An 8 b 500 MS/s full Nyquist cascade A/D converter,"An 8 b 500 MS/s one-bit-per-stage cascade A/D converter (ADC) has been developed. We achieved 500 MHz one-clock conversion of all the cascade stages with a novel error suppression technique. The measured SNDR is 47 dB (7.6 effective bits) at a 100 kHz input, keeping more than 45 dB (7.2 effective bits) up to the Nyquist frequency. The power dissipation and the active area of the ADC core, including a 1.5 GHz bandwidth sample-and-hold amplifier, are 950 mW from a +2 V/-3.3 V supply and 5.5 mm2, respectively ","Irie, K.   Kusayanagi, N.   Kawachi, T.   Nishibu, T.   Matsumori, Y.  ", , ,5.5,,2.50E+08,45,,,,,45,9.50E-01,5.00E+08,1,5.00E+08,1.90E+03,,13077.9,,129.2,2.62E-05,216.19
1999,8.3,NQ,Flash,0.35,A 1 V 6 b 50 MHz current-interpolating CMOS ADC,"A current-interpolation technique is used to implement a 6 b 50 MHz ADC operable with a single battery cell as low as 0.9 V without charge pumping. The prototype chip, fabricated in a 0.35 ?m standard digital process, occupies an area of 2.4 mm×2 mm, and consumes 10 mW each in analog and digital supplies, respectively ","Bang-Sup Song   Myung-Jun Choe   Rakers, P.   Gillig, S.   ", , ,4.8,,2.50E+07,33.5,,,,,33.5,2.00E-02,5.00E+07,1,5.00E+07,4.00E+02,,10349.1,,124.5,2.07E-04,201.46
1999,8.4,NQ,"Pipe, Folding",0.5,An 8 b 100 MSample/s CMOS pipelined folding ADC,"When applied to folding ADCs, pipelining relieves the wide bandwidth requirement of the folding amplifier. A pipelined folding ADC prototyped using a 0.5 ?m CMOS process exhibits a DNL of ±0.4 LSB and an INL of ±1.3 LSB at 100 MSample/s. The chip occupies 1.4 mm×1.2 mm in active area and consumes 165 mW at 5 V ","Myung-Jun Choe   Bang-Sup Song   Bacrania, K.   ", , ,1.68,,5.00E+07,42.3,46.5,,,,42.3,1.65E-01,1.00E+08,1,1.00E+08,1.65E+03,,15498.2,,127.1,1.55E-04,207.11
2000,11.1,OS,SDSC,0.25,A 50-mW 14-bit 2.5-MS/s ?-? modulator in a 0.25 ?m digital CMOS technology,"A 5th-order single-loop ?-? modulator has been implemented in a 0.25 ?m digital CMOS process, where the supply voltage is only 2.5 V and the capacitor option is not available. A tri-level quantizer is used to improve loop stability. The sampling frequency of the modulator is 80 MHz and the oversampling ratio is 32. Measured over a 1 MHz signal bandwidth, dynamic range is 86 dB, peak SNR is 80 dB and peak SNDR is 78 dB. The modulator consumes only 50 mW ","Balmelli, P.   Qiuting Huang   Piazza, F.   ", , ,1.1,,1.00E+06,78,80,,,,78,5.00E-02,8.00E+07,40,2.00E+06,2.50E+04,,3850.9,,151,1.93E-03,214.02
2000,16.1,NQ,Pipe,0.6 BiCMOS,"A 12 b 105 Msample/s, 850 mW analog to digital converter","This analog-to-digital converter achieves a minimum sampling rate of 105 Msample/S at a total power dissipation of 850 mW while achieving 11.0 effective number of bits (SNR=68 dB) and an SFDR of >80 dB for sampling analog input frequencies up to 70 MHz. The converter uses a switched capacitor multi-bit per stage architecture and incorporates an on-chip differential input buffer, a dedicated track/hold amplifier and an internally compensated wideband differential reference amplifier. The converter is fabricated on a 0.6 ?m BiCMOS process ","Michalski, C. ",, ,,,5.25E+07,,68,,,78,68,8.50E-01,1.05E+08,1,1.05E+08,8.10E+03,,3943.7,,145.9,3.76E-05,226.12
